Sample,THC-Total,CBD-Total
Blueberry IN1PUAU,56.70%,< 0.01%
Jar Oil,89.26%,< 0.01%
LN Lucky 2nd,87.18%,< 0.01%
Do-Si-Dos THCA-GOF IN10QXT,87.82%,< 0.01%
CBD Sample,--,--
Distillate 0005,88.35%,< 0.01%
Chernobyl,68.04%,< 0.01%
Obama Distillate,17.29%,5.09%
Gorilla Glue,68.76%,< 0.01%
Dog Walker OG,69.34%,< 0.01%
Rude Boi OG,69.78%,< 0.01%
Heads,81.11%,0.03%
B-Grade,82.37%,0.09%
Hemp Oil Isolate,--,--
Test 2,61.66%,< 0.01%
Terp Sauce,45.67%,< 0.01%
THCA Crystal,85.34%,0.05%
Filter Test,31.36%,9.30%
LH,588.15 mg,5.70 mg
Chem Dog,525.04 mg,4.60 mg
Holy Grail,647.18 mg,0.26 mg
Peach Purey,204.64 mg,363.05 mg
Amnesia,605.88 mg,7.27 mg
Hin Kush,577.91 mg,20.28 mg
CRX,254.65 mg,361.47 mg
Lucky 2nd,97.07%,< 0.01%
710st #1,88.47%,< 0.01%
Stryps,62.45%,< 0.01%
Mixed BHO,71.70%,< 0.01%
Purple Pie 1380,71.55%,< 0.01%
Black Cherry Soda 2049,88.90%,0.08%
FECO #61 Mix,76.84%,< 0.01%
LO.N042,88.28%,0.33%
ISO Healing Oil w/Isolate,58.10%,26.77%
Distillate Waste 0150,4.05%,< 0.01%
Guerilla Gold 0006,64.78%,0.04%
CBD,31.80%,36.51%
THC,71.58%,0.53%
L0 N.34,85.88%,1.31%
CBD,3.46%,71.80%
Meta-Memes CBD Isolate,--,--
L0 N.32,94.84%,< 0.01%
Brian Berry Cough Resin,--,--
CBD,11.59%,35.58%
RSO,11.00%,< 0.01%
JA 25.3,2.19%,< 0.01%
JA 25.2,76.78%,< 0.01%
JA 25.2,76.78%,< 0.01%
1st Pass EH,86.76%,2.40%
JA 25.1,70.32%,< 0.01%
OGKS Sauce,57.93%,< 0.01%
TR-AC/DC,12.74%,28.13%
LO N027,90.02%,< 0.01%
Life Nectar,24.22%,4.70%
CW RSO,34.61%,37.39%
SPD 17,68.75%,< 0.01%
Residual Fat Test,0.41%,< 0.01%
Rso #1,35.80%,36.36%
Base Oil 8-22,0.65 mg,< 0.01 mg
