Sample,Strain,THC-Total,CBD-Total
RSO CBD CO Spent Pellets,,1.89%,27.71%
Gorilla Breath,,15.48%,0.09%
Obama Kush,,15.03%,0.08%
Midnight Fantasy,,13.25%,0.10%
Bubba’s Bad Bitch,,15.00%,0.08%
ACDC,,3.85%,3.57%
Bubble,,15.91%,0.08%
DOG,,20.98%,0.08%
LOG,,17.30%,0.07%
MRC,,23.22%,0.08%
White Urkle,,22.85%,0.09%
Sample 1,,17.80%,0.27%
Gorilla Glue #4,,20.63%,0.11%
Zulu Time #1,,0.62%,16.04%
Mendo Purp,,16.52%,< 0.01%
Botofumerious aka China Girl,,15.80%,< 0.01%
Chernobyl,,13.86%,0.02%
Protected: Big Cheese 6557,,21.15%,< 0.01%
Blue Thai Haze,,21.69%,0.07%
Durban Posion,,20.02%,< 0.01%
Bubba Kush (Da Bakery),,20.15%,< 0.01%
Jah,,16.11%,< 0.01%
Hippy Crippler,,12.44%,< 0.01%
Kotton Kandy,,18.95%,0.18%
White Skunk,,18.84%,0.19%
Amnesia Haze,,17.57%,< 0.01%
PIE,,22.04%,0.01%
Blue Dream,,10.76%,< 0.01%
Pure Sex,,20.93%,0.11%
Orange Dream,,20.29%,0.10%
Girl Scout Cookies,,21.23%,0.13%
Blackberry,,19.14%,0.20%
Blue Cheese,,19.97%,0.21%
Sour Tsunami x Apogee Sour Rhino,,17.72%,0.21%
Pineapple Express MM,,22.49%,0.13%
Cinex,,18.58%,0.10%
Black Cherry Soda #2 6196,,21.49%,0.07%
Black Cherry Soda #1 0884,,22.80%,0.05%
CT,,15.42%,0.06%
SBJ,,14.78%,0.04%
Mendel OG,,18.97%,0.15%
2010 F1,,1.13%,16.49%
Blue Dream,,18.68%,0.07%
Animal OG,,22.13%,0.08%
Lemon OG,,23.28%,0.23%
Cure,,5.61%,10.06%
2010,,1.32%,17.24%
Jack,,22.46%,0.07%
I,,21.37%,0.03%
H,,22.83%,0.11%
S,,17.13%,0.09%
ACDC,,0.94%,13.66%
Purple Arrow,,16.63%,0.10%
Trade Bait Cookies,,19.94%,0.21%
Penelope’s OMG Cookie,,21.09%,0.19%
Penelope’s Acey Girl 2,,17.76%,0.20%
Penelope’s Acey Girl 3,,17.24%,0.28%
Penelope’s Cookie Solution 3,,8.74%,7.11%
Purple Prosise,,13.00%,0.19%
Samoa Cookie,,5.82%,0.06%
Candyland,,6.70%,0.06%
Glue,,6.68%,0.07%
Cheese Candy (PRE),,11.01%,0.18%
9# Hammer 2283,,22.32%,0.21%
Purple Pleiades x Sour Cyclone #4,,8.66%,4.65%
Purple Pleiades x Sour Cyclone #3,,14.02%,0.29%
9# Hammer 22810,,22.57%,0.11%
Green Crack,,13.42%,0.15%
Jeffry Stonehill,,13.69%,0.29%
Show & Tell #2,,17.42%,0.18%
Purple Pleiades x Sour Cyclone #2,,8.16%,3.45%
Purple Pleiades x Sour Cyclone #1,,9.26%,4.84%
Strawberry Mamba #4,,15.74%,0.20%
Blackberry Kush,,21.12%,0.15%
Platinum Girl Scout Cookie,,23.16%,0.16%
Predator Pink,,17.54%,0.19%
Lemon Merengue,,20.73%,0.20%
Sapphire Scout 1516,,15.35%,0.27%
Bubba Afghani 9510,,19.32%,0.11%
King Kong,,20.83%,0.22%
Gas Mask / Animal Cookies 6892,,15.73%,0.24%
Sapphire Scout 5044,,14.72%,0.26%
Charlotes Web,,6.39%,9.83%
Double Purple,,17.03%,0.16%
Kotton Kandy,,20.33%,0.15%
Tri Daddy Green,,20.35%,0.18%
MW,,19.48%,0.17%
DT,,21.95%,0.21%
SBJ,,19.08%,0.18%
Cheese Candy Post (Waters),,0.63%,< 0.01%
#2,,13.21%,0.62%
Glookie,,23.74%,0.22%
ATF,,18.39%,0.15%
Chocolate Hash Berry,,14.65%,0.10%
Mindscape,,18.38%,0.05%
Lemon Kush CBD,,5.03%,6.31%
Kluster Fuk MM,,17.23%,0.23%
FireStorm MM,,13.23%,0.22%
Phat Face MM,,15.06%,0.14%
Black Lime Reserve,,11.85%,0.20%
Big Sky OG,,19.35%,0.20%
Black Head Black Berry,,16.56%,0.23%
Pineapple 2,,15.92%,0.61%
Hog Calling Blues,,17.44%,0.21%
CBD Medi Haze,,13.11%,0.16%
ACDC Sample 2,,5.28%,6.90%
ACDC Sample 1,,5.23%,6.74%
Dragon Fruit,,15.38%,0.13%
SP50,,20.01%,0.26%
SP56,,18.96%,0.26%
SP33,,15.57%,0.25%
SP39,,14.87%,0.18%
SP52,,19.01%,0.24%
SP27,,10.16%,0.21%
Pink Lemonade,,19.77%,0.21%
OG4 Medical OG #4,,24.14%,0.23%
SBJ 3,,17.21%,0.08%
SBJ 2,,13.51%,0.07%
Cookies 2,,20.42%,0.23%
Candyland 2,,21.16%,0.24%
GK Grapefruit Kush,,20.54%,0.21%
Cookies 1,,19.40%,0.21%
Candyland 1,,18.86%,0.21%
OD Orange Dream,,18.96%,0.10%
Sample #1,,16.38%,0.20%
