id_x,names,type,crosses,breeder,effects,ailment,flavor,name,category,THC-Total,CBD-Total
1,100 OG,Hybrid,,Old School Breeder's Association,Focused,Depression,Citrus,,,,
2,707 Headband,Hybrid,"378,272",Unknown Breeder,,,,707 Headband - Water Hash,"Concentrate,Bubble Hash,",,
3,A-10,Indica,0,,"Relaxed, Happy, Uplifted, Energetic, Sleepy, Dry Mouth, Paranoid","Stress, Insomnia, Pain, Muscle Spasms, Depression","Citrus, Sweet",,,,
4,Acapulco Gold,Sativa,0,,"Happy, Euphoric, Uplifted, Relaxed, Creative, Dry Mouth, Paranoid, Anxious","Depression, Stress, Pain, Lack of Appetite","Earthy, Citrus",,,,
5,Afghani Bullrider,Hybrid,0,Unknown Breeder,"Uplifted, Relaxed, Happy, Euphoric, Dry Mouth, Paranoid","Stress, Depression, Insomnia, Pain","Sweet, Pine, Earthy",,,,
6,Afghan Big Bud,Indica,"9,39",,"Euphoric, Happy, Talkative, Relaxed, Sleepy, Dry Mouth, Paranoid","Stress, Pain, Nausea, Insomnia, Depression","Lemon, Lavender",,,,
7,Afghan Diesel,Hybrid,0,Unknown Breeder,,,,,,,
8,Afghan Kush,Hybrid,0,White Label Co.,,,,Afghan Kush - Wax,"Concentrate,Wax,",,
9,Afghani,Indica,0,,"Relaxed, Sleepy, Euphoric, Happy, Uplifted, Dry Mouth, Paranoid","Stress, Insomnia, Pain, Lack of Appetite, Depression","Earthy, Sweet, Pine",,,,
10,Afghanica,Hybrid,10,Flying Dutchmen Seed Company,,,,,,,
11,Afghooey,Indica,0,,"Uplifted, Sleepy, Euphoric, Relaxed, Talkative, Dry Mouth, Paranoid","Pain, Stress, Insomnia, Depression, Muscle Spasms","Earthy, Sweet",,,,
12,Afgoo,Indica,0,,"Relaxed, Sleepy, Happy, Euphoric, Hungry, Dry Mouth, Paranoid, Anxious","Stress, Pain, Insomnia, Lack of Appetite, Muscle Spasms","Pine, Earthy, Citrus",,,16.65%,0.22%
13,Afgooey,Indica,0,,"Relaxed, Happy, Sleepy, Euphoric, Dry Mouth, Paranoid, Anxious","Pain, Insomnia, Lack of Appetite, Stress, Muscle Spasms","Earthy, Pine",,,,
14,Afwreck,Hybrid,0,Unknown Breeder,,,,,,,
15,Agent Orange,Hybrid,"455, 386",TGA Seeds,,,,Agent Orange - Pre-roll,"Flowers,Pre-Roll",19.44%,0.17%
16,AK-47,Hybrid,"10, 257",Serious Seeds,,,,High THC Oil - Phoenix Tears,,17.12%,0.07%
17,AK-48,Hybrid,0,Nirvana,,,,AK-48 - Wax,"Concentrate,Wax,",,
18,Alaskan Thunder Fuck,Sativa,0,Northern View Collective,"Happy, Euphoric, Uplifted, Energetic, Relaxed, Dry Mouth, Paranoid, Anxious","Stress, Depression, Lack of Appetite, Pain","Earthy, Pine",,,,
19,Alien Kush,Hybrid,0,The Cali Connection,,,Earthy,Alien Kush - Vaporizer Cartridge,"Vapes,Vape Cartidge,",13.29%,0.05%
20,Aloha,Hybrid,0,Unknown Breeder,"Energetic, Uplifted, Happy, Creative, Focused, Dry Mouth, Anxious","Depression, Stress, Pain","Sweet, Citrus",,,,
21,Alohaberry,Hybrid,0,,,,,,,,
22,Ambrosia,Hybrid,"139,81",Jordan of the Islands,,,,Ambrosia - Wax,"Concentrate,Wax,",,
23,Amethyst,Hybrid,0,Gage Green Group,,,,,,,
24,Amnesia Haze,Hybrid,0,Soma Seeds,"Happy, Uplifted, Euphoric, Energetic, Creative, Dry Mouth, Paranoid, Anxious","Stress, Depression, Pain","Citrus, Lemon, Earthy",Amnesia Haze - Vaporizer Disposable,"Vapes,Disposable Vape,",17.57%,< 0.01%
